acronym	name	id	FBbt	parent_structure_id	structure_id_path	graph_depth	has_children
VLNP	ventrolateral neuropils	91	ventrolateral neuropils	105	/105/	2	TRUE
LH	lateral horn	92	lateral horn	105	/105/	2	TRUE
SNP	superior neuropils	93	superior neuropils	105	/105/	2	TRUE
INP	inferior neuropils	94	inferior neuropils	105	/105/	2	TRUE
AL	antennal lobe	95	antennal lobe	105	/105/	2	TRUE
VMNP	ventromedial neuropils	96	ventromedial neuropils	105	/105/	2	TRUE
PENP	periesophageal neuropils	97	periesophageal neuropils	105	/105/	2	TRUE
LOX	lobula complex	99	lobula complex	87	/105/87/	3	TRUE
CB	central body	100	central body	89	/105/89/	3	TRUE
VLP	ventrolateral protocerebrum	101	ventrolateral protocerebrum	91	/105/91/	3	TRUE
CL	clamp	102	clamp	94	/105/94/	3	TRUE
VX	ventral complex	103	ventral complex	96	/105/96/	3	TRUE
PS	posterior slope	104	posterior slope	96	/105/96/	3	TRUE
BR	brain	105	brain	105	/105/	1	TRUE
