"","id","atlas_id","name","acronym","st_level","ontology_id","hemisphere_id","weight","parent_structure_id","depth","graph_id","graph_order","structure_id_path","color_hex_triplet","neuro_name_structure_id","neuro_name_structure_id_path","failed","sphinx_id","structure_name_facet","failed_facet","safe_name","col"
"10377",10377,NA,"amygdalohippocampal area","AHA",NA,11,3,8660,10372,9,16,1789,"/10153/10154/10155/10156/10157/10158/10331/10361/10372/10377/","89BA46",NA,NA,"f",8389,1573676220,734881840,"amygdalohippocampal area","#89BA46"
"10339",10339,NA,"nucleus accumbens","NAC",NA,11,3,8660,10333,9,16,1879,"/10153/10154/10155/10156/10157/10158/10331/10332/10333/10339/","91A06E",NA,NA,"f",8479,1425846938,734881840,"nucleus accumbens","#91A06E"
"12138",12138,NA,"paracentral lobule, caudal part","PCLc",NA,11,3,8660,12131,7,16,2382,"/10153/10154/10155/10156/10609/12112/12131/12138/","E49C33",NA,NA,"f",8982,1084316475,734881840,"paracentral lobule caudal part","#E49C33"
"10434",10434,NA,"medial geniculate nuclei","MG",NA,11,3,8660,10428,9,16,1986,"/10153/10154/10155/10156/10157/10389/10390/10391/10428/10434/","B67BB4",NA,NA,"f",8586,3454614373,734881840,"medial geniculate nuclei","#B67BB4"
"10420",10420,NA,"ventral lateral nucleus of thalamus","VL",NA,11,3,8660,10416,10,16,1957,"/10153/10154/10155/10156/10157/10389/10390/10391/10406/10416/10420/","B067A9",NA,NA,"f",8557,1414483349,734881840,"ventral lateral nucleus of thalamus","#B067A9"
"10660",10660,NA,"cerebellar deep nuclei","CbDN",NA,11,3,8660,10656,7,16,2732,"/10153/10154/10155/10653/10654/10655/10656/10660/","3E80BA",NA,NA,"f",9332,2812003744,734881840,"cerebellar deep nuclei","#3E80BA"
"12126",12126,NA,"paracentral lobule, rostral part","PCLr",NA,11,3,8660,12113,7,16,2365,"/10153/10154/10155/10156/10609/12112/12113/12126/","EDCF37",NA,NA,"f",8965,599880437,734881840,"paracentral lobule rostral part","#EDCF37"
"10597",10597,NA,"anterior horn of lateral ventricle","aLV",NA,11,3,8660,10596,6,16,2258,"/10153/10154/10155/10156/10595/10596/10597/","231F20",NA,NA,"f",8858,2859395169,734881840,"anterior horn of lateral ventricle","#231F20"
"10576",10576,NA,"fornix","fx",NA,11,3,8660,10568,6,16,2166,"/10153/10154/10155/10156/10557/10568/10576/","F2F1F0",NA,NA,"f",8766,496175781,734881840,"fornix","#F2F1F0"
"12165",12165,NA,"uncus of parahippocampal gyrus","UN",NA,11,3,8660,12162,8,16,2420,"/10153/10154/10155/10156/10609/12112/12155/12162/12165/","D2BFB2",NA,NA,"f",9020,1503870193,734881840,"uncus of parahippocampal gyrus","#D2BFB2"
"12166",12166,NA,"ambiens gyrus","AG",NA,11,3,8660,12165,9,16,2421,"/10153/10154/10155/10156/10609/12112/12155/12162/12165/12166/","D2BFB2",NA,NA,"f",9021,3071001694,734881840,"ambiens gyrus","#D2BFB2"
"10417",10417,NA,"ventral anterior nucleus of thalamus","VA",NA,11,3,8660,10416,10,16,1954,"/10153/10154/10155/10156/10157/10389/10390/10391/10406/10416/10417/","A554A0",NA,NA,"f",8554,877466166,734881840,"ventral anterior nucleus of thalamus","#A554A0"
"10561",10561,NA,"corpus callosum","cc",NA,11,3,8660,10558,6,16,2119,"/10153/10154/10155/10156/10557/10558/10561/","F2F1F0",NA,NA,"f",8719,3022588286,734881840,"corpus callosum","#F2F1F0"
"10649",10649,NA,"gray matter of midbrain","MGM",NA,11,3,8660,10648,4,16,2460,"/10153/10154/10155/10648/10649/","A0C7D5",NA,NA,"f",9060,2829028570,734881840,"gray matter of midbrain","#A0C7D5"
"12195",12195,NA,"midbrain tegmentum","MTg",NA,11,3,8660,10649,5,16,2474,"/10153/10154/10155/10648/10649/12195/","5298AE",NA,NA,"f",9074,824690733,734881840,"midbrain tegmentum","#5298AE"
"146034872",146034872,NA,"paracingulate gyrus","PaCG",NA,11,3,8660,12113,7,16,2366,"/10153/10154/10155/10156/10609/12112/12113/146034872/","EAA6AF",NA,NA,"f",8966,1551072038,734881840,"paracingulate gyrus","#EAA6AF"
"12384",12384,NA,"paravermis of cerebellum","CBPV",NA,11,3,8660,10659,9,16,2696,"/10153/10154/10155/10653/10654/10655/10656/10657/10659/12384/","4A8ECC",NA,NA,"f",9296,439451026,734881840,"paravermis of cerebellum","#4A8ECC"
"10308",10308,NA,"anterior olfactory nucleus","AON",NA,11,3,8660,10306,9,16,1739,"/10153/10154/10155/10156/10157/10158/10159/10292/10306/10308/","AA9DC6",NA,NA,"f",8339,2739385054,734881840,"anterior olfactory nucleus","#AA9DC6"
"12157",12157,NA,"cingulate gyrus, rostral (anterior) part","CgGr",NA,11,3,8660,12156,8,16,2411,"/10153/10154/10155/10156/10609/12112/12155/12156/12157/","E26880",NA,NA,"f",9011,3388709159,734881840,"cingulate gyrus rostral (anterior) part","#E26880"
"10425",10425,NA,"ventral posterior medial nucleus","VPM",NA,11,3,8660,10423,11,16,1967,"/10153/10154/10155/10156/10157/10389/10390/10391/10406/10416/10423/10425/","9E4C94",NA,NA,"f",8567,1380017014,734881840,"ventral posterior medial nucleus","#9E4C94"
"12251",12251,NA,"substantia nigra","SN",NA,11,3,8660,12195,6,16,2532,"/10153/10154/10155/10648/10649/12195/12251/","6CA9BF",NA,NA,"f",9132,2130000243,734881840,"substantia nigra","#6CA9BF"
